track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts
Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",2,2022,4,29,1351,0,106919680,26,1,17,0,0
ZOOM,Jessi,1,2022,4,13,608,0,136996305,5,29,14,0,0
SloMo,Chanel,1,2021,12,24,1211,0,65719930,31,0,19,0,2
FEARLESS,LE SSERAFIM,1,2022,5,2,629,0,229497852,18,75,9,0,0
10 Things I Hate About You,Leah Kate,1,2022,3,23,1301,0,185550869,23,1,15,0,0
SPACE MAN,Sam Ryder,1,2022,2,22,1329,0,54682594,42,51,32,0,0
With you,"HA SUNG WOON, Jimin",2,2022,4,24,343,2,240580042,4,35,11,1,1
Iris,The Goo Goo Dolls,1,1998,3,31,13101,9,1284942608,137,5,582,0,0
The Heart Part 5,Kendrick Lamar,1,2022,5,8,2939,0,71423324,29,0,30,0,0
San Lucas,Kevin Kaarl,1,2019,11,7,407,1,244891912,5,0,5,0,0
This Love (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2022,5,6,1492,0,132171975,26,2,15,0,2
Good Looking,Suki Waterhouse,1,2017,10,20,2264,0,184706613,11,6,25,0,1
Flowers,Lauren Spencer Smith,1,2021,8,9,801,0,184826429,42,9,24,1,1
Yet To Come,BTS,1,2022,6,10,829,0,302006641,32,110,26,0,0
Run BTS,BTS,1,2022,6,10,736,0,330881149,5,132,17,0,3
Music For a Sushi Restaurant,Harry Styles,1,2022,5,20,4449,1,334733572,80,11,66,0,1
Matilda,Harry Styles,1,2022,5,20,3218,3,366214458,29,10,79,0,0
For Youth,BTS,1,2022,6,10,327,0,114546317,5,40,12,0,0
Daylight,Harry Styles,1,2022,5,20,2775,0,290833204,21,11,40,0,0
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,1,2022,5,6,4576,0,448500832,79,13,93,0,17
Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",4,2022,6,10,2313,0,136676504,34,0,29,0,0
Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",3,2022,5,27,3983,0,190625045,73,45,119,0,0
Born Singer,BTS,1,2022,6,10,279,0,79095270,0,18,6,0,0
Little Freak,Harry Styles,1,2022,5,20,2302,0,273194684,20,3,39,0,0
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",4,2022,5,20,3559,3,333146475,36,1,31,0,1
True Love,"Kanye West, XXXTENTACION",2,2022,5,27,2129,0,194902696,23,1,44,1,0
Satellite,Harry Styles,1,2022,5,20,3291,5,311482393,43,28,79,0,208
Pass The Dutchie,Musical Youth,1,1982,1,1,5328,0,195918494,54,76,900,0,0
"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",2,2022,6,8,1401,0,248511839,26,16,17,0,1
Love Of My Life,Harry Styles,1,2022,5,20,1933,0,233671263,13,2,31,0,0
Grapejuice,Harry Styles,1,2022,5,20,1986,0,199587884,7,1,15,0,0
So Good,Halsey,1,2022,6,9,1057,0,91781263,51,14,19,0,0
Belly Dancer,"BYOR, Imanbek",2,2022,2,18,5115,13,383835984,109,38,301,1,33
Keep Driving,Harry Styles,1,2022,5,20,2094,1,236060709,8,1,18,0,0
Cinema,Harry Styles,1,2022,5,20,2171,0,189236868,18,1,28,0,0
Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",2,2022,5,25,896,0,160845341,19,0,15,0,0
Only Love Can Hurt Like This,Paloma Faith,1,2014,1,1,5148,0,588955257,90,22,365,0,114
Hold My Hand,Lady Gaga,1,2022,5,3,2528,0,238350348,63,8,270,2,105
Daydreaming,Harry Styles,1,2022,5,20,1900,1,187703102,15,1,23,0,0
Numb,"Marshmello, Khalid",2,2022,6,10,3879,2,295307001,107,76,86,1,9
Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",2,2022,6,2,896,0,138334433,0,0,2,0,0
Me and Your Mama,Childish Gambino,1,2016,11,10,8775,0,445590495,33,60,107,1,0
Crazy What Love Can Do,"David Guetta, Ella Henderson, Becky Hill",3,2022,3,18,5290,0,286739476,139,73,142,0,5
SLOW DANCING IN THE DARK,Joji,1,2018,9,12,10211,0,1122364376,38,79,65,0,1
Antes de Perderte,Duki,1,2022,6,2,584,8,157136970,12,1,8,0,1
Boyfriends,Harry Styles,1,2022,5,20,1517,0,137070925,26,2,30,0,0
295,Sidhu Moose Wala,1,2021,5,15,246,4,183273246,4,106,0,0,7
Tak Ingin Usai,Keisya Levronka,1,2022,5,13,220,4,184807630,16,5,0,0,6
En El Radio Un Cochinero,Victor Cibrian,1,2022,5,13,514,0,164856284,5,36,1,0,0
Master of Puppets (Remastered),Metallica,1,1986,3,3,6080,0,704171068,112,198,406,1,0
BREAK MY SOUL,Beyoncï¿,1,2022,6,21,9724,0,354614964,222,61,259,14,2
ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",5,2022,6,16,2341,0,279717388,37,2,38,2,0
Massive,Drake,1,2022,6,17,5263,0,195628667,66,89,61,0,11
Betty (Get Money),Yung Gravy,1,2022,6,10,2402,0,221752937,45,2,26,0,1
Ojos Marrones,Lasso,1,2022,2,6,795,11,263280370,26,18,15,1,4
POP!,Nayeon,1,2022,6,24,571,0,213505179,19,21,14,0,2
Layla,"Schï¿½ï¿½rze, DJ R",2,2022,3,24,832,3,130419412,18,124,24,1,0
MORE,j-hope,1,2022,7,1,565,0,155795783,6,52,11,0,0
Sweet Child O' Mine,Guns N' Roses,1,1987,1,1,41231,1,1553497987,228,151,"6,720",3,99
Last Last,Burna Boy,1,2022,5,12,4526,12,293466523,156,275,150,3,128
SNAP,Rosa Linn,1,2022,3,19,1818,0,711366595,3,0,63,0,353
Sticky,Drake,1,2022,6,17,2814,0,191448892,38,105,25,0,2
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",3,2022,7,1,1601,0,85924992,11,0,2,0,0
Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",3,2022,6,3,894,4,176103902,28,0,54,0,0
La Loto,"Anitta, Tini, Becky G",3,2022,7,6,945,0,121189256,49,3,57,0,0
die first,Nessa Barrett,1,2022,6,24,767,0,131746175,25,0,22,0,0
Afraid To Feel,LF System,1,2022,5,2,5898,5,244790012,129,55,128,0,101
Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",3,2022,6,10,685,2,129314708,17,0,24,0,30
cï¿½ï¿½mo dormi,Rels B,1,2022,8,4,1452,35,331511413,16,15,20,0,0
Bad Decisions (with BTS & Snoop Dogg),"Snoop Dogg, BTS, Benny Blanco",3,2022,8,5,1456,0,219196651,53,2,33,0,0
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",3,2022,8,5,2107,0,170732845,51,1,50,0,0
Caile,Luar La L,1,2020,12,18,1494,2,273914335,17,12,15,0,0
Si Te La Encuentras Por Ahï¿,Feid,1,2022,8,5,1379,4,179061440,23,10,18,0,0
GIVENCHY,Duki,1,2022,7,20,625,4,185236961,13,18,12,0,0
ALIEN SUPERSTAR,Beyoncï¿,1,2022,7,29,2688,0,171788484,39,47,36,0,0
Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183,38,266,78,0,141
Attention,NewJeans,1,2022,8,1,799,12,264717480,14,141,9,0,1
THE SHADE,Rex Orange County,1,2022,3,11,1189,6,244928911,17,10,16,0,4
"Come Back Home - From ""Purple Hearts""",Sofia Carson,1,2022,7,12,367,0,97610446,28,67,195,0,0
El Rescate,"Grupo Marca Registrada, Junior H",2,2022,7,22,527,4,287278853,10,43,3,1,0
Heartless,Kanye West,1,2008,1,1,17504,34,887906111,63,39,"1,315",0,2
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",4,2022,7,15,3113,0,123473120,54,6,124,1,0
Siempre Pendientes,"Peso Pluma, Luis R Conriquez",2,2022,8,15,685,5,295152154,15,79,4,2,0
JGL,"Luis R Conriquez, La Adictiva",2,2022,2,18,782,9,323455692,15,33,6,1,0
Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",3,2022,6,16,2442,0,240918092,81,4,248,1,6
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",3,2022,5,20,1112,4,191873381,22,2,65,1,3
Hold Me Closer,"Elton John, Britney Spears",2,2017,11,10,4967,0,284216603,165,10,177,4,73
Forget Me,Lewis Capaldi,1,2022,9,9,2520,4,239411309,93,95,84,9,202
After LIKE,IVE,1,2022,8,22,767,12,265548837,20,129,11,0,12
Bound 2,Kanye West,1,2013,1,1,19806,7,703301727,33,11,274,0,0
B.O.T.A. (Baddest Of Them All) - Edit,"Interplanetary Criminal, Eliza Rose",2,2022,6,15,5153,6,244585109,102,53,113,12,0
Talk that Talk,TWICE,1,2022,8,26,615,0,189476119,14,77,15,1,2
BILLIE EILISH.,Armani White,1,2022,1,20,2537,0,277132266,49,1,67,11,1
Ferxxo 100,Feid,1,2022,6,3,1647,30,278920007,20,49,23,2,2
KU LO SA - A COLORS SHOW,Oxlade,1,2022,6,10,2019,8,222410722,117,72,107,1,7
Prohibidox,Feid,1,2022,9,13,1473,12,185392587,25,36,25,1,0
Static,Steve Lacy,1,2022,7,15,1613,0,202452860,21,15,13,0,0
The Scientist,Coldplay,1,2002,8,5,30992,6,1608164312,124,25,"7,827",1,0
Sparks,Coldplay,1,2000,7,10,10826,4,624101957,24,0,805,0,0
Talk,YEAT,1,2022,9,2,920,0,148461629,10,1,8,0,0
XQ Te Pones Asï¿,"Yandel, Feid",2,2022,9,13,308,0,47093942,6,1,6,0,0
Selfish,PnB Rock,1,2016,6,23,2468,0,380319238,15,0,0,0,0
Sin Seï¿½ï,"Ovy On The Drums, Quevedo",2,2022,7,22,1097,2,209106362,18,10,13,1,1
Lady Mi Amor,Feid,1,2022,9,13,330,0,53987404,3,0,2,0,0
Poland,Lil Yachty,1,2022,6,23,1584,0,115331792,38,0,24,0,0
THE LONELIEST,Mï¿½ï¿½ne,1,2022,10,7,1585,5,225093344,78,65,328,1,198
Bye Bye,"Marshmello, Juice WRLD",2,2022,10,14,766,0,84697729,16,0,9,0,0
BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",4,2022,8,18,836,0,159240673,14,1,13,0,0
Nxde,(G)I-DLE,1,2022,10,17,430,6,170709584,14,116,9,0,11
Miss You,Southstar,1,1982,5,16,2020,0,154356956,77,10,119,0,40
we fell in love in october,girl in red,1,2018,11,21,6858,0,723043854,31,21,15,0,4
2 Be Loved (Am I Ready),Lizzo,1,2022,7,14,3682,6,247689123,41,0,158,2,68
Celestial,Ed Sheeran,1,2022,9,29,1639,0,176474912,86,14,80,0,37
Typa Girl,BLACKPINK,1,2022,9,16,452,10,235549288,2,129,13,0,1
I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",2,2020,12,18,668,1,140430339,0,0,31,0,
California Breeze,Lil Baby,1,2022,10,14,991,0,85559365,36,38,13,0,3
Bamba (feat. Aitch & BIA),"Luciano, Aitch, Bï¿½",3,2022,9,22,869,7,146223492,14,12,12,2,28
Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",3,2022,7,1,648,4,187701588,0,0,30,0,0
Major Distribution,"Drake, 21 Savage",2,2022,11,4,1545,0,154863153,22,7,15,0,0
Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",3,2022,11,4,1930,0,191333656,24,8,17,0,1
Vigilante Shit,Taylor Swift,1,2022,10,21,1948,0,253650850,12,9,16,0,0
Question...?,Taylor Swift,1,2022,10,21,1608,0,223064273,10,3,12,0,0
On BS,"Drake, 21 Savage",2,2022,11,4,1338,0,170413877,9,20,7,0,0
Mastermind,Taylor Swift,1,2022,10,21,1936,0,218320587,7,5,13,0,0
Circo Loco,"Drake, 21 Savage",2,2022,11,4,1794,0,141720999,26,9,17,0,3
Labyrinth,Taylor Swift,1,2022,10,21,1597,0,187339835,6,3,15,0,0
Spin Bout U,"Drake, 21 Savage",2,2022,11,4,1652,2,198365537,26,52,10,0,95
Sweet Nothing,Taylor Swift,1,2022,10,21,1747,0,186104310,9,6,13,0,2
"Would've, Could've, Should've",Taylor Swift,1,2022,10,21,1715,0,177503916,4,5,8,0,0
Con La Brisa,"Ludwig Goransson, Foudeqush",2,2022,11,4,486,0,71095708,8,1,7,0,0
Privileged Rappers,"Drake, 21 Savage",2,2022,11,4,1007,0,112436403,6,5,3,0,0
The Astronaut,Jin,1,2022,10,28,481,9,203436468,10,100,15,1,27
BackOutsideBoyz,Drake,1,2022,11,4,1045,0,93367537,8,5,2,0,0
Broke Boys,"Drake, 21 Savage",2,2022,11,4,1060,0,106249219,3,8,5,0,0
The Great War,Taylor Swift,1,2022,10,21,1274,0,181382590,1,6,11,0,0
My Mind & Me,Selena Gomez,1,2022,11,3,953,0,91473363,61,13,37,1,0
Bigger Than The Whole Sky,Taylor Swift,1,2022,10,21,1180,0,121871870,4,0,8,0,0
A Veces (feat. Feid),"Feid, Paulo Londra",2,2022,11,3,573,0,73513683,2,0,7,0,0
En La De Ella,"Feid, Sech, Jhayco",3,2022,10,20,1320,0,133895612,29,26,17,0,0
Alone,Burna Boy,1,2022,11,4,782,2,96007391,27,18,32,1,0
